accident_id,easting,northing,has_coords,accident_date,year,month,weekday,hour,time_24h,num_vehicles,vehicles_bin,num_casualties,road_class,road_surface,lighting_conditions,weather_conditions,severity,casualty_severity
38F1203,428296,434122,True,2016-08-15,2016,8,Monday,14,1405,3,3+,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38F1229,428825,435232,True,2016-08-15,2016,8,Monday,17,1715,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38F1671,425038,434397,True,2016-08-15,2016,8,Monday,20,2050,2,2,5,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38F1671,425038,434397,True,2016-08-15,2016,8,Monday,20,2050,2,2,5,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38F1671,425038,434397,True,2016-08-15,2016,8,Monday,20,2050,2,2,5,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38F1671,425038,434397,True,2016-08-15,2016,8,Monday,20,2050,2,2,5,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38F1671,425038,434397,True,2016-08-15,2016,8,Monday,20,2050,2,2,5,A,Dry,Darkness: street lights present and lit,Fine without high winds,Slight,Slight
38G0359,430793,424354,True,2016-08-16,2016,8,Tuesday,9,940,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G0415,428490,434992,True,2016-08-16,2016,8,Tuesday,10,1009,2,2,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G0700,427705,431070,True,2016-08-16,2016,8,Tuesday,12,1245,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G1249,427945,436116,True,2016-08-16,2016,8,Tuesday,17,1725,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G1292,426973,439836,True,2016-08-16,2016,8,Tuesday,17,1748,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G1320,419762,438787,True,2016-08-16,2016,8,Tuesday,16,1630,2,2,1,A,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G1427,422188,428745,True,2016-08-16,2016,8,Tuesday,18,1853,2,2,1,B,Dry,Daylight: street lights present,Fine without high winds,Slight,Slight
38G1724,432290,445654,True,2016-08-16,2016,8,Tuesday,21,2120,1,1,1,A,Dry,Darkness: no street lighting,Fine without high winds,Serious,Serious
38G1863,428834,434632,True,2016-08-16,2016,8,Tuesday,22,2250,2,2,1,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Serious,Serious
38G1890,431871,434742,True,2016-08-16,2016,8,Tuesday,23,2308,2,2,1,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Slight,Slight
38H0623,418630,442578,True,2016-08-17,2016,8,Wednesday,11,1156,1,1,1,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Serious,Serious
