index,Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
247,3250763,427967,435720,1,Leeds 2016,05/02/2016,1337,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,22,Motorcycle over 50cc and up to 125cc
248,3250763,427967,435720,1,Leeds 2016,05/02/2016,1337,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,52,Motorcycle over 50cc and up to 125cc
249,3250763,427967,435720,1,Leeds 2016,05/02/2016,1337,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,38,Motorcycle over 50cc and up to 125cc
250,3250808,427749,436433,2,Leeds 2016,05/02/2016,1359,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,50,Car
251,3250909,427283,433766,2,Leeds 2016,05/02/2016,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,Car
252,3250909,427283,433766,2,Leeds 2016,05/02/2016,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,52,Car
253,3251140,429461,436019,2,Leeds 2016,05/02/2016,1639,Unclassified,Dry,Darkness: street lights present and lit,Unknown,Driver or rider,Slight,Male,24,Pedal cycle
254,3260392,435658,440202,1,Leeds 2016,06/02/2016,840,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
255,3260640,431034,424695,2,Leeds 2016,06/02/2016,1214,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,70,Car
256,3260782,436518,434022,2,Leeds 2016,06/02/2016,1344,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Female,43,Car
257,3261079,431603,426687,2,Leeds 2016,06/02/2016,1645,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Male,18,Motorcycle over 125cc and up to 500cc
258,3261181,434792,437967,2,Leeds 2016,06/02/2016,1734,A,Dry,Daylight: street lights present,Unknown,Vehicle or pillion passenger,Slight,Female,37,Car
259,3261396,436229,435593,2,Leeds 2016,31/01/2016,1925,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Serious,Male,25,Pedal cycle
260,3261553,428307,434106,2,Leeds 2016,06/02/2016,1130,A,Dry,Daylight: street lights present,Unknown,Driver or rider,Slight,Male,40,Pedal cycle
